Normais Climatológicas do Brasil 1961-1990
Temperatura Média Compensada (°C)
Código;Nome da Estação;UF;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
83244;Itaberaba;BA;25,8;25,8;25,6;25,1;23,7;22,2;21,5;22,1;23,4;25,0;25,4;25,5;24,3
83295;Itiruçu (Jaguaquara);BA;22,3;22,3;22,0;21,4;20,1;18,8;17,9;18,3;19,4;20,9;21,5;21,8;20,5
83186;Jacobina;BA;25,0;25,1;25,0;24,3;22,9;21,5;21,0;21,6;23,1;24,5;25,1;24,8;23,7
83242;Lençóis;BA;24,5;24,7;24,4;23,8;22,5;21,2;20,7;21,4;22,7;23,7;24,0;23,9;23,1
83090;Monte Santo;BA;25,5;25,3;25,1;24,3;22,8;21,4;20,7;21,3;22,7;24,5;25,1;25,4;23,7
83184;Morro do Chapéu;BA;20,8;21,0;20,8;20,4;18,9;17,4;16,8;17,4;18,7;20,2;20,8;20,7;19,5
82986;Paulo Afonso;BA;27,4;27,2;26,9;26,2;24,8;23,2;22,5;23,2;24,6;26,5;27,4;27,4;25,6
82979;Remanso;BA;26,6;26,6;26,4;26,6;26,0;25,2;24,9;25,6;27,2;28,3;27,6;26,7;26,5
83229;Salvador (Ondina);BA;26,4;26,5;26,6;26,2;25,2;24,3;23,7;23,6;24,3;25,1;25,5;25,9;25,3
83076;Santa Rita de Cássia (Ibipetuba);BA;24,6;24,6;24,3;24,3;23,5;22,1;21,7;22,9;25,2;26,4;25,4;24,6;24,1
83223;São Francisco do Conde;BA;26,0;26,0;25,8;25,2;24,0;23,2;22,5;22,6;23,4;24,6;25,2;25,5;24,5
83190;Serrinha;BA;25,1;24,8;24,5;24,2;22,7;21,2;20,7;20,9;22,1;23,7;24,4;24,8;23,3
82784;Barbalha;CE;25,3;24,6;24,2;24,0;23,9;23,7;23,7;24,6;26,0;26,4;26,5;26,2;24,9
82777;Campos Sales;CE;24,9;24,0;23,5;23,5;23,1;22,8;22,7;23,8;25,3;26,3;26,3;25,8;24,3
82583;Crateús;CE;27,1;25,9;25,2;25,0;24,9;24,8;25,1;26,4;27,7;28,6;28,6;28,0;26,5
82397;Fortaleza;CE;30,6;30,2;29,7;29,8;29,9;29,6;29,6;30,0;30,2;30,5;30,7;30,8;30,1
82487;Guaramiranga;CE;21,1;20,9;20,8;20,8;20,5;19,8;19,5;19,9;20,4;20,8;21,0;20,9;20,5
82686;Iguatu;CE;27,5;26,5;26,0;25,8;25,4;25,0;25,3;26,2;27,6;28,4;28,7;28,6;26,8
82588;Morada Nova;CE;27,9;27,4;26,8;26,7;26,5;26,0;25,9;26,7;27,4;28,0;28,2;28,2;27,1
82586;Quixeramobim;CE;27,6;27,0;25,9;25,5;25,3;25,1;24,9;26,3;27,3;27,7;27,7;27,9;26,5
82392;Sobral;CE;27,5;26,7;26,1;26,0;26,0;26,0;25,9;26,8;27,5;27,8;28,1;28,1;26,9
82683;Tauá;CE;25,3;24,9;24,8;24,4;24,2;24,0;24,0;25,0;26,0;26,7;26,9;27,0;25,3
83377;Brasília;DF;21,2;21,3;21,5;20,9;19,6;18,5;18,3;20,3;21,7;21,6;21,1;21,0;20,6
83646;Cachoeiro do Itapemirim;ES;26,4;26,6;26,2;24,3;22,2;21,0;20,4;21,3;22,3;23,4;24,4;25,1;23,6
83597;Linhares;ES;25,7;26,0;25,7;24,2;22,7;21,5;20,7;21,3;21,8;23,2;24,4;25,3;23,5
83648;Vitória;ES;26,2;26,7;26,5;25,1;23,3;22,3;21,6;22,2;22,8;23,5;24,4;25,5;24,2
83368;Aragarças;GO;25,3;25,4;25,5;25,3;23,8;22,5;22,2;24,3;26,1;26,7;25,9;25,4;24,9
83526;Catalão;GO;23,0;23,1;23,2;22,4;20,6;19,5;19,2;21,4;23,0;23,3;23,0;22,6;22,0
83379;Formosa;GO;22,2;22,4;22,5;22,0;20,7;19,5;19,3;21,3;22,8;22,9;22,3;22,1;21,7
83423;Goiânia;GO;23,8;23,8;24,0;23,6;22,2;20,9;20,9;23,0;24,5;24,6;24,1;23,5;23,2
83374;Goiás;GO;24,8;24,8;25,1;25,0;24,0;22,7;23,0;25,0;26,4;25,8;25,2;24,8;24,7
83464;Jataí;GO;23,9;23,7;23,6;22,7;20,5;18,2;18,2;20,4;22,5;24,1;24,1;23,9;22,2
83467;Mineiros;GO;23,6;23,7;23,7;22,9;21,1;19,4;19,8;21,8;22,9;24,0;23,7;23,6;22,5
83376;Pirenópolis;GO;22,9;23,2;23,1;22,9;21,7;20,2;20,4;22,4;23,8;24,0;23,3;22,9;22,6
83470;Rio Verde;GO;23,3;23,6;23,4;22,5;21,3;20,3;20,4;22,4;23,1;24,1;23,2;23,1;22,6
82571;Barra do Corda;MA;25,1;25,0;25,0;25,2;24,9;24,6;24,4;25,5;27,0;27,4;26,5;25,8;25,5
82765;Carolina;MA;25,0;25,1;25,3;25,8;26,1;26,0;26,2;27,1;28,0;26,7;26,0;25,5;26,1
82476;Caxias;MA;26,6;26,2;25,9;26,2;26,1;25,7;25,8;26,7;28,2;28,6;28,3;27,6;26,8
82568;Grajaú;MA;25,1;25,1;25,1;25,3;25,1;24,7;24,6;25,3;26,7;26,6;26,0;25,5;25,4
82564;Imperatriz;MA;25,9;25,9;25,5;26,1;26,4;25,9;25,8;26,6;27,3;27,2;26,8;26,2;26,3
82280;São Luís;MA;26,1;25,7;25,6;25,8;25,9;25,9;25,6;25,9;26,3;26,6;26,9;26,7;26,1
82376;Zé Doca;MA;25,6;25,7;25,6;26,1;26,3;26,0;25,8;25,9;26,4;27,3;27,4;26,6;26,2
83442;Araçuaí;MG;25,6;26,0;25,9;24,6;22,8;21,5;21,3;22,5;24,5;25,3;25,0;24,9;24,2
83579;Araxá;MG;21,5;22,0;22,0;20,3;18,7;17,9;17,5;19,4;20,0;21,1;21,0;21,0;20,2
83582;Bambuí;MG;23,2;23,4;23,1;20,9;18,2;16,6;16,1;18,4;20,2;22,2;22,4;22,6;20,6
83689;Barbacena;MG;20,2;20,5;20,0;18,1;16,3;15,2;14,7;16,1;17,0;18,1;18,9;19,5;17,9
83587;Belo Horizonte;MG;22,8;23,0;22,9;21,7;19,6;18,5;18,0;19,7;21,1;21,7;22,2;22,2;21,1
83681;Caldas (P. de Caldas);MG;20,7;20,9;20,4;18,6;15,9;14,3;14,2;16,0;18,4;19,3;20,2;20,2;18,3
83685;Cambuquira;MG;21,7;21,9;21,6;19,6;17,3;16,4;16,2;18,1;19,6;20,4;20,8;21,2;19,6
83514;Capinópolis;MG;23,8;24,1;24,0;23,3;21,5;20,3;20,2;22,5;23,9;24,7;24,3;23,7;23,0
83592;Caratinga;MG;23,2;23,6;23,1;21,4;19,4;18,1;17,8;19,1;20,5;22,1;22,8;22,9;21,2
83027;Cataguases;MG;26,0;26,1;25,6;23,5;21,1;19,7;19,4;20,6;22,2;23,6;24,5;25,3;23,1
83686;Caxambu;MG;22,0;22,2;21,4;19,6;16,9;15,2;14,8;16,8;18,9;20,6;21,1;21,3;19,2
83589;Conceição do Mato Dentro;MG;23,0;23,2;22,8;21,0;18,6;17,1;16,6;18,2;20,0;21,6;22,4;22,6;20,6
83037;Coronel Pacheco;MG;23,9;24,2;23,6;21,5;19,3;17,3;16,9;18,2;19,5;21,6;22,7;23,2;21,0
83536;Curvelo;MG;24,3;24,7;24,3;23,1;20,9;19,5;19,2;20,9;22,6;23,8;23,9;24,0;22,6
83538;Diamantina;MG;19,9;20,1;20,1;18,4;16,9;16,0;15,5;16,8;17,6;18,7;19,6;19,7;18,3
83338;Espinosa;MG;24,9;25,2;25,1;24,4;23,5;22,0;21,8;23,4;24,8;25,6;25,0;24,8;24,2
83581;Florestal;MG;22,5;22,6;22,3;20,6;17,7;16,0;15,5;17,3;19,6;21,3;21,9;22,1;20,0
83574;Frutal;MG;25,3;25,5;25,5;24,0;22,0;20,8;20,5;22,6;24,7;24,9;25,2;25,4;23,9
83543;Governador Valadares;MG;26,1;26,4;26,3;24,4;22,3;21,1;20,7;22,0;23,2;24,3;24,9;25,4;23,9
83632;Ibirité;MG;22,5;22,8;22,4;20,6;18,2;16,8;16,4;18,6;20,4;21,7;22,0;22,1;20,4
83488;Itamarandiba;MG;21,6;21,8;21,7;20,1;18,4;17,0;16,3;17,5;18,9;20,4;20,8;21,2;19,7
83490;Itambacuri;MG;25,2;25,2;24,6;23,3;21,2;20,0;19,4;20,5;22,3;23,7;24,4;24,5;22,9
83386;Januária;MG;24,9;25,4;25,3;24,6;23,0;21,6;21,2;23,0;25,0;26,1;25,4;24,7;24,2
83591;João Monlevade;MG;22,1;22,3;22,1;20,7;19,0;17,7;17,0;18,3;19,2;20,5;21,1;21,4;20,1
83481;João Pinheiro;MG;23,2;23,7;23,6;23,0;21,7;20,3;19,9;21,8;23,1;23,7;23,5;22,9;22,5
83692;Juiz de Fora;MG;21,9;22,4;21,4;19,5;17,6;16,5;16,1;17,2;18,0;19,4;20,3;21,1;19,3
83687;Lavras;MG;21,8;22,1;21,6;19,8;17,4;16,3;15,9;17,7;19,4;20,4;20,9;21,2;19,6
83023;Lavras-ESAL.;MG;21,5;21,9;21,4;19,6;17,3;16,2;16,0;17,8;19,4;20,2;20,9;21,0;19,5
83683;Machado;MG;22,2;22,5;22,0;20,0;17,5;16,0;15,9;17,9;19,7;20,9;21,5;21,7;19,8
83440;Minas Novas;MG;24,0;24,3;24,0;22,8;20,5;19,1;19,0;20,2;22,2;23,2;23,4;23,4;22,2
83437;Montes Claros;MG;23,6;23,8;23,9;23,0;21,1;20,0;19,6;21,1;22,8;23,6;23,1;23,1;22,4
83637;Oliveira;MG;21,7;22,0;21,7;20,2;17,9;16,7;16,4;18,4;19,6;20,5;20,8;21,1;19,8
83732;Ouro Fino;MG;21,6;21,9;21,4;19,9;17,3;16,1;15,9;17,6;19,5;19,9;21,0;21,1;19,4
83737;Passa Quatro;MG;21,6;21,8;21,2;19,1;16,2;14,5;14,1;15,9;17,6;19,7;20,4;20,9;18,6
83531;Patos de Minas;MG;22,1;22,3;22,3;21,1;19,4;18,4;18,3;20,4;21,9;22,2;22,0;21,7;21,0
83539;Patrocínio;MG;22,3;22,2;22,3;20,9;18,9;17,8;17,2;19,2;20,6;21,8;22,0;21,7;20,6
83393;Pedra Azul;MG;23,9;24,2;23,9;22,9;21,4;20,1;19,5;20,4;21,5;22,6;23,1;23,4;22,3
83483;Pirapora;MG;24,7;25,3;25,1;23,8;21,5;19,8;19,7;21,9;24,1;25,3;24,9;24,4;23,4
83570;Pompeu;MG;23,8;24,1;24,0;22,8;20,1;18,9;18,5;20,7;22,0;23,3;23,4;23,1;22,1
83441;Salinas;MG;24,8;24,9;25,0;23,2;21,4;19,9;19,7;21,5;23,4;24,4;24,4;24,2;23,1
83385;São Francisco;MG;25,0;25,2;25,2;24,3;22,6;21,7;21,5;23,2;25,5;26,0;25,3;24,7;24,2
83688;São João del-Rei;MG;21,5;21,7;21,4;19,6;17,4;15,9;15,7;17,2;18,8;19,9;20,4;21,0;19,2
83736;São Lourenço;MG;22,2;22,3;21,7;19,5;16,2;14,6;14,3;16,4;18,7;20,4;21,3;21,7;19,1
83631;São Sebas. do Paraíso;MG;22,0;21,9;21,9;20,8;18,5;16,8;16,6;19,1;21,3;21,3;22,2;21,7;20,3
83586;Sete Lagoas;MG;22,7;22,9;22,7;21,1;19,0;17,8;17,5;19,4;21,0;22,1;22,3;22,4;20,9
83492;Teófilo Otoni;MG;25,2;25,3;25,0;23,6;21,6;19,9;19,4;20,5;22,1;23,5;24,0;24,5;22,9
83577;Uberaba;MG;23,5;23,5;23,5;22,2;19,8;18,8;18,5;20,9;22,6;23,2;23,3;23,1;21,9
83642;Viçosa;MG;22,1;22,2;21,8;19,7;17,2;15,9;15,5;16,9;18,5;20,2;21,1;21,5;19,4
83611;Campo Grande;MS;24,6;24,5;24,2;22,6;20,8;19,4;20,3;21,4;22,5;24,2;24,2;24,3;22,8
83512;Coxim;MS;25,9;25,8;25,6;24,5;22,5;20,5;20,9;22,4;24,6;26,3;26,2;25,9;24,3
83659;Dourados;MS;25,0;24,9;24,3;22,1;19,8;18,0;18,3;19,6;20,9;23,1;23,9;24,5;22,0
83704;Ivinhema;MS;25,1;25,2;24,7;22,1;19,8;18,4;18,9;19,5;21,0;23,1;24,1;24,6;22,2
83565;Paranaíba;MS;25,1;25,5;25,1;23,3;21,4;20,1;20,0;22,0;23,4;25,3;25,0;24,8;23,4
83702;Ponta Porã;MS;24,0;23,8;23,0;20,7;18,4;16,5;16,8;18,1;19,9;21,6;22,6;23,4;20,7
83405;Cáceres;MT;26,5;26,4;26,3;25,6;23,9;22,0;21,7;23,8;25,5;26,9;26,9;26,6;25,2
83361;Cuiabá;MT;26,7;26,5;26,5;26,0;24,4;23,0;22,8;25,0;26,6;27,4;27,2;26,9;25,8
83309;Diamantino;MT;25,6;25,5;25,5;25,3;23,9;22,5;22,3;24,5;25,9;26,2;26,0;25,6;24,9
83264;Gleba Celeste;MT;24,4;24,3;24,6;24,7;23,9;22,5;22,1;23,2;24,6;25,1;24,7;24,4;24,0
83365;Sangradouro;MT;23,6;23,5;23,5;23,0;21,0;19,0;18,5;21,0;23,7;24,0;23,9;23,7;22,4
82353;Altamira;PA;25,7;25,4;25,4;25,7;25,9;25,7;25,6;26,2;26,8;27,0;26,8;26,4;26,1
82741;Alto Tapajós;PA;25,3;25,2;25,4;25,5;25,5;25,0;24,4;25,5;25,7;25,8;25,6;25,5;25,4
82191;Belém;PA;25,6;25,4;25,5;25,6;25,8;26,0;25,7;26,0;26,0;26,4;26,5;26,2;25,9
82246;Belterra;PA;24,8;24,5;24,6;24,7;24,6;24,4;24,3;24,8;25,4;25,8;25,8;25,3;24,9
82188;Breves;PA;25,5;25,4;25,5;25,8;26,1;26,0;26,0;26,2;26,3;26,5;26,5;26,1;26,0
82263;Cametá;PA;26,2;25,9;26,1;26,3;26,5;26,6;26,4;26,7;26,9;27,2;27,3;26,9;26,6
82861;Conceição do Araguaia;PA;25,1;25,1;25,3;25,6;25,9;25,3;25,1;25,9;26,4;25,8;25,6;25,2;25,5
82445;Itaituba;PA;26,2;25,7;25,9;26,3;26,4;26,3;26,4;27,1;27,5;27,7;27,6;26,7;26,7
82562;Marabá;PA;25,9;25,7;25,9;26,3;26,6;26,4;26,3;26,9;26,9;26,6;26,5;26,0;26,3
82181;Monte Alegre;PA;25,9;25,6;25,7;25,9;26,0;25,9;26,1;26,7;27,4;27,7;27,5;27,0;26,5
82178;Óbidos;PA;26,1;25,7;25,8;26,0;26,2;26,2;26,3;27,0;27,4;27,8;27,8;27,0;26,6
82184;Porto de Moz;PA;25,9;25,6;26,0;26,1;26,2;26,2;26,2;26,7;27,0;27,3;27,2;26,7;26,4
82243;Santarém (Taperinha);PA;25,8;25,5;25,5;25,6;25,7;25,5;25,4;26,1;26,6;26,9;26,9;26,2;26,0
82668;São Félix do Xingu;PA;24,7;24,6;24,8;25,0;25,2;24,7;24,6;25,2;25,4;25,3;25,3;24,8;25,0
82141;Soure;PA;26,9;26,3;26,2;26,5;26,9;27,2;27,1;27,6;27,9;28,2;28,2;27,8;27,2
82194;Tracuateua (Desativada);PA;25,8;25,2;25,2;25,3;25,4;25,3;25,1;25,5;25,8;26,3;26,6;26,6;25,7
82145;Tracuateua (Operante);PA;25,7;25,0;25,0;24,8;25,1;25,2;25,1;25,4;25,8;26,3;26,5;26,5;25,5
82361;Tucuruí;PA;26,1;25,9;26,1;26,3;26,6;26,5;26,3;26,6;27,0;27,4;27,2;26,6;26,6
82795;Campina Grande;PB;23,5;23,7;23,5;23,2;22,3;21,3;20,5;20,6;21,3;22,4;23,1;23,4;22,4
82798;João Pessoa;PB;27,1;27,2;27,0;26,7;26,0;25,2;24,2;24,3;25,1;26,3;26,7;26,9;26,1
82792;Monteiro;PB;25,4;25,0;24,5;23,9;22,5;21,6;21,1;21,7;23,0;24,6;25,2;25,4;23,7
82689;São Gonçalo;PB;27,2;26,4;26,0;25,9;25,7;25,2;25,2;26,1;27,2;27,7;27,8;27,8;26,5
82890;Arcoverde;PE;24,5;24,2;24,2;23,3;21,9;20,8;20,2;20,7;22,1;23,8;24,5;24,7;22,9
82886;Cabrobó;PE;27,0;26,5;26,4;25,6;24,8;24,0;23,7;24,5;26,0;27,9;28,4;27,7;26,0
82895;Caruaru;PE;23,9;24,1;24,1;23,6;22,7;21,6;20,6;20,9;21,7;23,1;-;24,2;-
82887;Floresta;PE;27,8;27,1;26,9;26,3;25,0;23,9;23,2;24,1;25,8;27,9;28,6;28,2;26,2
82893;Garanhuns;PE;22,0;22,0;21,9;21,4;20,3;19,2;18,4;18,4;19,3;20,8;21,7;21,9;20,6
82892;Pesqueira;PE;24,4;24,1;24,0;23,2;22,0;20,8;20,2;20,4;21,7;23,2;24,1;24,2;22,7
82983;Petrolina;PE;27,2;26,8;27,1;26,2;25,5;24,5;24,1;24,7;26,2;27,7;28,2;27,6;26,3
82900;Recife (Curado);PE;26,5;26,5;26,4;25,9;25,2;24,5;23,9;23,9;24,6;25,5;26,1;26,4;25,5
82797;Surubim;PE;24,8;24,9;24,6;24,3;23,3;22,3;21,6;21,9;22,7;23,8;24,4;24,7;23,6
82789;Triunfo;PE;22,6;21,9;21,5;21,0;20,1;19,0;18,4;19,2;20,8;22,5;23,1;23,0;21,1
82975;Bom Jesus do Piauí;PI;25,4;25,3;25,5;25,6;25,8;25,5;25,6;27,0;28,5;27,7;26,2;26,0;26,2
82678;Floriano;PI;25,5;25,5;25,6;25,9;26,0;25,9;26,5;27,7;29,1;28,5;27,2;26,5;26,7
82780;Picos;PI;26,7;26,1;25,8;26,1;26,2;26,0;26,0;27,1;28,9;29,7;29,2;27,8;27,1
82578;Teresina;PI;26,7;26,1;26,1;26,2;26,4;26,1;26,2;26,8;28,8;29,3;28,8;28,1;27,1
83783;Campo Mourão;PR;23,7;23,7;23,0;20,7;17,7;16,0;16,1;17,5;19,0;21,4;22,7;23,3;20,4
83813;Castro;PR;20,5;20,6;19,6;17,1;14,1;12,6;12,5;13,7;15,3;17,0;18,6;19,6;16,8
83842;Curitiba;PR;20,4;20,6;19,6;17,2;14,5;13,1;12,9;14,1;15,0;16,5;18,2;19,3;16,8
83826;Foz do lguaçu;PR;25,5;25,4;23,8;20,8;17,7;15,8;15,7;17,5;19,0;21,4;23,1;25,1;20,9
83775;Guaíra;PR;25,6;25,5;24,7;21,9;18,7;16,8;17,0;18,3;19,9;22,4;23,9;25,1;21,7
83834;Guarapuava;PR;20,2;20,2;19,3;16,7;14,4;12,6;12,3;14,5;15,8;17,1;18,5;19,5;16,8
83836;Irati;PR;20,4;20,7;19,7;16,5;14,5;13,1;13,3;14,0;15,5;17,1;18,6;19,8;16,9
83811;Ivaí;PR;21,6;21,3;20,4;18,3;15,1;13,2;13,7;15,0;16,5;18,6;19,9;20,7;17,8
83769;Jacarezinho;PR;24,6;24,8;24,0;21,7;18,7;17,0;17,1;18,7;20,5;22,0;23,3;23,9;21,4
83766;Londrina;PR;23,9;24,1;23,4;21,3;18,3;16,7;16,7;18,4;20,0;21,5;22,9;23,4;20,9
83767;Maringá;PR;24,5;24,5;24,0;22,0;19,5;17,8;18,0;19,6;20,5;22,3;23,6;24,0;21,7
83860;Palmas;PR;19,3;19,3;17,9;14,8;12,2;10,7;10,4;11,3;13,7;15,5;17,2;18,5;15,1
83844;Paranaguá;PR;25,0;25,3;24,4;22,1;19,8;17,7;17,2;17,8;18,7;20,4;22,3;23,9;21,2
83837;Ponta Grossa;PR;21,5;21,5;20,5;17,5;15,0;13,7;13,4;15,1;17,0;17,9;19,6;20,5;17,8
83867;Rio Negro;PR;20,4;20,7;19,5;16,7;13,9;12,6;12,4;13,5;15,1;16,6;18,4;19,7;16,6
83025;São Mateus do Sul;PR;21,3;21,2;20,1;16,8;14,0;12,7;12,3;13,9;15,9;17,4;19,3;20,4;17,1
83828;Toledo;PR;24,4;24,0;23,4;20,7;17,7;15,7;17,1;17,1;18,9;21,6;22,7;23,4;20,6
83007;Alto da Boa Vista;RJ;24,5;24,6;-;21,2;19,5;19,0;18,5;19,0;19,3;20,2;21,3;22,8;-
83788;Angra dos Reis;RJ;25,9;26,4;25,7;23,8;22,1;20,7;20,2;20,8;21,4;22,3;23,5;24,9;23,1
83765;Araras;RJ;21,7;21,9;21,1;18,9;15,9;14,8;14,0;15,5;17,7;19,0;19,8;21,0;18,4
83790;Bangu;RJ;27,0;27,1;26,4;24,2;22,0;21,1;20,5;21,8;22,5;23,4;24,3;25,9;23,9
83752;Barreirinha;RJ;21,8;22,0;21,3;19,2;17,0;16,2;15,5;17,1;18,3;19,0;20,0;21,0;19,0
83719;Cabo Frio (Alcalis);RJ;25,0;25,2;25,3;24,1;22,6;21,6;21,1;21,0;21,2;22,0;23,3;24,4;23,1
83698;Campos ;RJ;26,2;26,6;26,3;24,3;22,6;21,4;20,7;21,6;22,2;23,2;24,4;25,3;23,7
83807;Carmo;RJ;25,2;25,5;24,9;22,6;20,3;19,0;18,4;19,8;21,3;22,1;23,2;24,2;22,2
83718;Cordeiro;RJ;23,5;23,9;23,2;20,8;18,7;17,3;16,7;18,1;19,1;20,7;22,0;22,8;20,6
83741;Ecologia Agrícola;RJ;26,1;26,4;25,6;23,4;21,5;20,6;20,2;21,1;21,9;22,6;23,8;25,0;23,2
83792;Engenho de Dentro;RJ;27,0;27,2;26,4;24,3;22,2;21,3;20,8;22,0;22,9;23,5;24,1;25,9;24,0
83758;Ilha Guaíba;RJ;25,8;26,2;25,7;23,9;22,5;21,5;21,2;21,5;21,5;22,2;23,8;24,9;23,4
83695;Itaperuna;RJ;26,0;26,4;25,8;23,9;21,8;20,6;20,0;21,3;22,2;23,2;24,1;24,9;23,3
83793;Jacarepaguá;RJ;26,6;26,7;26,2;24,0;21,8;21,0;20,3;21,5;22,3;23,1;24,1;25,6;23,6
83745;Nova Friburgo;RJ;21,2;21,2;20,8;18,5;16,0;14,6;14,1;15,3;16,6;18,2;19,3;20,3;18,0
83791;Penha;RJ;27,2;27,5;26,6;24,7;22,6;21,4;21,0;22,1;23,0;23,6;24,5;26,0;24,2
83754;Pinheiral;RJ;24,2;24,1;23,8;21,4;18,6;17,4;16,9;18,5;20,4;21,2;22,2;23,1;21,0
83757;Piraí;RJ;23,9;24,0;23,6;21,5;18,9;17,5;16,9;18,2;19,7;20,9;22,1;23,2;20,9
83738;Resende;RJ;23,8;24,2;23,6;21,5;19,2;17,7;17,4;18,9;20,4;21,4;22,4;23,1;21,1
83743;Rio de Janeiro;RJ;26,3;26,6;26,0;24,4;22,8;21,8;21,3;21,8;22,2;22,9;24,0;25,3;23,8
83696;Santa Maria Madalena;RJ;22,8;23,0;22,5;20,7;18,7;17,7;16,9;18,0;18,8;19,9;20,8;22,0;20,1
83798;Santa Teresa;RJ;25,5;25,5;24,9;23,0;21,2;20,3;19,6;20,4;21,4;21,7;22,8;24,2;22,5
83805;Santo Antônio de Pádua;RJ;26,8;26,9;26,3;24,1;21,5;19,9;19,6;21,1;23,0;23,8;25,2;25,8;23,7
83802;São Bento (Duque de Caxias);RJ;26,2;26,4;25,7;23,4;21,2;20,0;19,5;20,7;21,8;22,9;23,9;25,3;23,1
